,id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1,split,labels_list,majority_label,label
10,100440,es,"Frente al #Edadismo y el #Androcentrismo:""La edad –hoy más que nunca, a causa del envejecimiento progresivo de nuestras sociedades– debe convertirse en cuestión política, a fin de devolverle la dignidad y visibilidad.""¡Orgullosamente viejas! @bonetjoana https://t.co/HX2KYpsmn4",6,"['Annotator_49', 'Annotator_50', 'Annotator_51', 'Annotator_52', 'Annotator_53', 'Annotator_54']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Chile', 'Mexico', 'Portugal', 'Spain']","['NO', 'NO', 'NO', 'YES', 'NO', 'YES']",TRAIN_ES,"['NO', 'NO', 'NO', 'YES', 'NO', 'YES']",NO,0
11,102094,es,"@pvallin Bien, salvo por los cigarrillos mentolados para ellas. Las mujeres no deben fumar.",6,"['Annotator_37', 'Annotator_38', 'Annotator_39', 'Annotator_40', 'Annotator_41', 'Annotator_42']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'other', 'Bachelor’s degree']","['United States', 'Mexico', 'Venezuela', 'Spain', 'Spain', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
12,101946,es,Décima Cuarta Sesión Ordinaria del Sistema Estatal para la Igualdad entre Mujeres y Hombres. https://t.co/7hoFNbbf5u,6,"['Annotator_169', 'Annotator_170', 'Annotator_171', 'Annotator_172', 'Annotator_173', 'Annotator_174']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Doctorate', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Spain', 'Mexico', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
13,100595,es,"—Le dejó terminar de hablar, eso sí, alzó el dedo índice para que viese que tenía algo que decir—. Te pensabas que yo era como ellas, y que se me iban a caer las bragas porque me pintases un cuadrito y bailases conmigo un reggaetón. https://t.co/Dm7HJUNztB",6,"['Annotator_85', 'Annotator_86', 'Annotator_87', 'Annotator_88', 'Annotator_89', 'Annotator_90']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Less than high school diploma', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Cuba', 'United Kingdom', 'Spain', 'Portugal']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'NO', 'YES']",YES,1
14,103392,es,si después de que se me vaya el periodo mis tetas no vuelven a su tamaño y forma de antes me veré en la obligación de cortármelas,6,"['Annotator_127', 'Annotator_128', 'Annotator_129', 'Annotator_130', 'Annotator_131', 'Annotator_132']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Chile', 'United States', 'Macedonia, The Former Yugoslav Republic of', 'Spain', 'Spain']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'YES', 'NO', 'NO', 'NO']",NO,0
15,100110,es,"Y recuerden que decir ""No todos los hombres"" no es más que una microagresión que demuestra tu necesidad de controlar la opinión de una mujer y someterla a los parámetros de lo que tú esperas que ella sea. https://t.co/O3bDl3pSRh",6,"['Annotator_151', 'Annotator_152', 'Annotator_153', 'Annotator_154', 'Annotator_155', 'Annotator_156']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Master’s degree', 'Doctorate', 'High school degree or equivalent', 'High school degree or equivalent']","['United States', 'Portugal', 'Spain', 'Spain', 'Spain', 'Chile']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
16,101495,es,@esojose_ Esto es confundir la identidad de género con la expresión de género. Absurda la comparación.,6,"['Annotator_313', 'Annotator_314', 'Annotator_315', 'Annotator_316', 'Annotator_317', 'Annotator_318']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Doctorate', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Italy', 'Spain', 'United Kingdom', 'Spain', 'Portugal', 'Mexico']","['NO', 'YES', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'YES', 'NO', 'NO', 'NO', 'NO']",NO,0
17,100121,es,@NarcisoKaramazo @LilaAndrea86 @grupoeldeber A ver si tú y tu micromachismo defienden a quien pegue a tu hija,6,"['Annotator_289', 'Annotator_290', 'Annotator_291', 'Annotator_292', 'Annotator_293', 'Annotator_294']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Master’s degree', 'Less than high school diploma', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Portugal', 'Portugal', 'Portugal', 'Spain', 'Spain', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
18,103435,es,@ztante Acá mañana un ser de esa misma condición va a presentar su libro sobre asuntos trans?? Yo no sé qué tienen en la cabeza.,6,"['Annotator_211', 'Annotator_212', 'Annotator_213', 'Annotator_214', 'Annotator_215', 'Annotator_216']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Mexico', 'Argentina', 'Netherlands', 'Spain', 'Mexico']","['NO', 'YES', 'YES', 'YES', 'YES', 'NO']",TRAIN_ES,"['NO', 'YES', 'YES', 'YES', 'YES', 'NO']",YES,1
19,101018,es,Si no fuera por esa misoginia que se os escapa tanto en la aberración de #CachitosCarra (imágnes) como en el pequeño momento de apología de la cultura de la violación con las mujeres objeto del pop ochentero. A veces parece que es Torrente quien hace los guiones. https://t.co/bPKwoRuVWh https://t.co/pO2PzOCOtd,6,"['Annotator_271', 'Annotator_272', 'Annotator_273', 'Annotator_274', 'Annotator_275', 'Annotator_276']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Puerto Rico', 'El Salvador', 'Portugal', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
20,102639,es,"Una mujer rebelde defiende a su hombre hasta el final. Yo quiero a quien quiero, y se acabó.",6,"['Annotator_19', 'Annotator_20', 'Annotator_21', 'Annotator_22', 'Annotator_23', 'Annotator_24']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Doctorate', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Afghanistan', 'United States', 'Italy', 'Portugal', 'Chile']","['YES', 'YES', 'YES', 'NO', 'NO', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'NO', 'NO', 'YES']",YES,1
21,101445,es,@tatianuskaya @AcademiaMum Ese proyecto se centró en el estudio de ese evento y gracias a una estrecha colaboración con @minvuatacama pudo ser posible obtener resultados muy interesantes tanto del proceso hidrológico como de su afectación a la ciudad de Copiapó https://t.co/D7yXKygnIY https://t.co/5LE1c6SrBG,6,"['Annotator_361', 'Annotator_362', 'Annotator_363', 'Annotator_364', 'Annotator_365', 'Annotator_366']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Doctorate', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Italy', 'United States', 'United States', 'Spain', 'Peru', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
22,100033,es,"She harassed the Senator, así que váyanse a mamar. https://t.co/XFHzXpPzQx",6,"['Annotator_67', 'Annotator_68', 'Annotator_69', 'Annotator_70', 'Annotator_71', 'Annotator_72']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Spain', 'Spain', 'Dominican Republic', 'Portugal', 'Italy', 'Spain']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'YES', 'YES', 'NO']",NO,0
23,100487,es,"@jpazosnoram No sabes ni lo que dijo Garzón, pero que un titular falso no te estropee el avergonzar a tu hijo. Odias tanto, que te crees cualquier cosa que digan sobre los demás con tal de reafirmar tus prejuicios.",6,"['Annotator_319', 'Annotator_320', 'Annotator_321', 'Annotator_322', 'Annotator_323', 'Annotator_324']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Less than high school diploma', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Spain', 'Spain', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
24,101136,es,""".. la diferencia de fuerza física entre hombres y mujeres podría determinar la exclusión de las mujeres a la obtención de las plazas, que se verían superadas por la mayor fuerza física de los aspirantes hombres, lo que constituiría un claro ejemplo de discriminación indirecta.."" https://t.co/ljllYHmLni",6,"['Annotator_49', 'Annotator_50', 'Annotator_51', 'Annotator_52', 'Annotator_53', 'Annotator_54']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Chile', 'Mexico', 'Portugal', 'Spain']","['NO', 'YES', 'NO', 'YES', 'YES', 'YES']",TRAIN_ES,"['NO', 'YES', 'NO', 'YES', 'YES', 'YES']",YES,1
25,102277,es,al unico varon q le dejo hacer manspreading es a taehyung Los demás q no se pasen d vivos https://t.co/0oLV1VvxBo,6,"['Annotator_79', 'Annotator_80', 'Annotator_81', 'Annotator_82', 'Annotator_83', 'Annotator_84']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Peru', 'Spain', 'Peru', 'Italy', 'Spain', 'Mexico']","['NO', 'YES', 'NO', 'YES', 'YES', 'YES']",TRAIN_ES,"['NO', 'YES', 'NO', 'YES', 'YES', 'YES']",YES,1
26,100359,es,Autoridades lanzan la guía digital que ofrece consejos para prevenir el #acoso en línea y ayudar a la #víctima.Leer más: https://t.co/4WEROvTS6b,6,"['Annotator_139', 'Annotator_140', 'Annotator_141', 'Annotator_142', 'Annotator_143', 'Annotator_144']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Multiracial', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Portugal', 'Mexico', 'Italy', 'Italy', 'Portugal', 'Mexico']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'YES', 'NO', 'NO']",NO,0
27,103639,es,cahcake ya casi queda poco para el años zorra solo 200 años,6,"['Annotator_211', 'Annotator_212', 'Annotator_213', 'Annotator_214', 'Annotator_215', 'Annotator_216']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Mexico', 'Argentina', 'Netherlands', 'Spain', 'Mexico']","['NO', 'YES', 'YES', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'YES', 'YES', 'NO', 'NO', 'NO']",NO,0
28,102294,es,Y en este caso también decir que se deber terminar ya a que si una mujer juega al fútbol es lesbiana y un marimacho porque el fútbol es de hombres porque eso no es así porque una mujer puede jugar al fútbol y hasta jugar mejor que otros hombres al igual que si un hombre le gusta https://t.co/qytIFYf5cF,6,"['Annotator_103', 'Annotator_104', 'Annotator_105', 'Annotator_106', 'Annotator_107', 'Annotator_108']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Less than high school diploma']","['Mexico', 'Spain', 'Italy', 'Spain', 'United Kingdom', 'Chile']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
29,102890,es,"@maciucop @svmusicology El martes te puedes pasar por el centro de tercera edad, el area de las auxiliares de enfermería, cuidadoras a domicilio. Hay profesiones masculinizadas/feminizadas ese es el mundo laboral que tenemos, la paridad es otra cosa.",6,"['Annotator_187', 'Annotator_188', 'Annotator_189', 'Annotator_190', 'Annotator_191', 'Annotator_192']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Portugal', 'Portugal', 'Mexico', 'Spain', 'Mexico']","['YES', 'NO', 'YES', 'NO', 'YES', 'NO']",TRAIN_ES,"['YES', 'NO', 'YES', 'NO', 'YES', 'NO']",NO,0
30,101881,es,Que se atrevan a decir que hay igualdad de oportunidades es un chiste que a la salud mental de muchxs docentes no le hace gracia ninguna,6,"['Annotator_331', 'Annotator_332', 'Annotator_333', 'Annotator_334', 'Annotator_335', 'Annotator_336']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Portugal', 'Portugal', 'Mexico', 'Spain', 'Portugal', 'Mexico']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']",TRAIN_ES,"['YES', 'NO', 'YES', 'NO', 'YES', 'YES']",YES,1
